title
Jupiter's Wife
Pie in the Sky
Angela
Frankie Starlight
Jade
Nueba Yol
Sonic Outlaws
Down Periscope
From the Journals of Jean Seberg
Man of the Year (1995)
The Neon Bible
Target (1995)
Up Close & Personal
The Birdcage
Virgin Mary
The Brothers McMullen
Bad Boys (1995)
The Amazing Panda Adventure
The Basketball Diaries
An Awfully Big Adventure
Amateur
Apollo 13
Rob Roy
The Addiction
Batman Forever
Belle de Jour
Beyond Rangoon
Blue in the Face
Canadian Bacon
Casper
Clockers
Congo
Crimson Tide
Crumb
Desperado
Devil in a Blue Dress
Die Hard: With a Vengeance
The Doom Generation
Feast of July
First Knight
Free Willy 2 - The Adventure Home
Hackers
Jeffrey
Johnny Mnemonic
Judge Dredd
Jury Duty
Kids
Living in Oblivion
Lord of Illusions
Love & Human Remains
Mad Love (1995)
Mallrats
Mighty Morphin Power Rangers: The Movie
Moonlight and Valentino
Mute Witness
Nadja
The Net (1995)
Nine Months
Party Girl (1995)
The Prophecy
Reckless (1995)
Safe (1995)
The Scarlet Letter (1995)
The Show (1995)
Showgirls
Smoke
Something to Talk About
Species
The Stars Fell on Henrietta
Strange Days
The Umbrellas of Cherbourg
The Tie That Binds
Three Wishes
Total Eclipse
"To Wong Foo, Thanks for Everything! Julie Newmar"
Under Siege 2: Dark Territory
Unstrung Heroes
Unzipped
A Walk in the Clouds
Waterworld
White Man's Burden
Wild Bill (1995)
The Browning Version (1994)
Bushwhacked
Burnt by the Sun
Before the Rain
Before Sunrise
Billy Madison
The Babysitter
Boys on the Side
The Cure
Castle Freak
Circle of Friends
Clerks
Don Juan DeMarco
Disclosure
Drop Zone
Death and the Maiden
Dolores Claiborne
Dumb and Dumber
Eat Drink Man Woman
Exotica
Exit to Eden
Ed Wood
French Kiss
Forget Paris
Far from Home: The Adventures of Yellow Dog
A Goofy Movie
Hideaway
Fluke
Farinelli
Gordy
Gumby: The Movie
The Glass Shield
Hoop Dreams
Heavenly Creatures
Houseguest
Immortal Beloved
Heavyweights (1995)
The Hunted (1995)
I.Q.
Interview with the Vampire
Jefferson in Paris
The Jerky Boys
Junior (1994)
Just Cause
A Kid in King Arthur's Court
Kiss of Death (1995)
Star Wars
Little Women (1994)
A Little Princess (1995)
Ladybird Ladybird
L'Enfer
Like Water for Chocolate
Legends of the Fall
Major Payne
Little Odessa
Mi Vida Loca
Love Affair (1994)
Losing Isaiah
The Madness of King George
Mary Shelley's Frankenstein
Man of the House (1995)
Mixed Nuts
Milk Money
Miracle on 34th Street (1994)
Miami Rhapsody
My Family
Murder in the First
Nobody's Fool (1994)
Nell
New Jersey Drive
New York Cop
Beyond Bedlam
Nemesis 2 - Nebula
Nina Takes a Lover
Natural Born Killers
Only You
Once Were Warriors
Poison Ivy II: Lily
Outbreak
Leon: The Professional
The Perez Family
A Pyromaniac's Love Story
Pulp Fiction
Panther
Pushing Hands
Priest (1994)
Quiz Show
Picture Bride
Queen Margot
The Quick and the Dead (1995)
Roommates
Prêt-à-Porter
Three Colors: Red
Three Colors: Blue
Three Colors: White
"Red Firecracker, Green Firecracker"
Rent-a-Kid
Relative Fear
Stuart Saves His Family
The Swan Princess
The Secret of Roan Inish
The Specialist
Stargate
The Santa Clause
The Shawshank Redemption
Shallow Grave
Suture
Strawberry and Chocolate
Swimming with Sharks
The Sum of Us
Senior Trip
To Live
Tank Girl
Tales from the Crypt: Demon Knight
Star Trek: Generations
Tales from the Hood
Tom & Viv
Village of the Damned (1995)
Tommy Boy
Vanya on 42nd Street
The Underneath (1995)
The Walking Dead (1995)
What's Eating Gilbert Grape
Virtuosity
While You Were Sleeping
The War
Double Happiness
Muriel's Wedding
The Baby-Sitters Club
Ace Ventura: Pet Detective
"The Adventures of Priscilla, Queen of the Desert"
Backbeat
Bitter Moon
Bullets Over Broadway
Clear and Present Danger
The Client (1994)
"Corrina, Corrina"
Crooklyn
The Crow
Cobb
The Flintstones
Forrest Gump
Four Weddings and a Funeral
Higher Learning
I Like It Like That
I Love Trouble (1994)
It Could Happen to You
The Jungle Book (1994)
"The Wonderful, Horrible Life of Leni Riefenstahl"
The Lion King
Little Buddha
New Nightmare
The Mask (1994)
Maverick
Mrs. Parker and the Vicious Circle
The Naked Gun 33⅓: The Final Insult
The Paper
Reality Bites
Red Rock West
Ri¢hie Ri¢h
Safe Passage
The River Wild
Speed
Speechless
Timecop
True Lies
When a Man Loves a Woman
Wolf (1994)
Wyatt Earp
Bad Company (1995)
A Man of No Importance
S.F.W.
A Low Down Dirty Shame
"Boys Life: Three Stories of Love, Lust, and Liberation"
Colonel Chabert
"Faster, Pussycat! Kill! Kill!"
Jason's Lyric
The Secret Adventures of Tom Thumb
Street Fighter
Coldblooded
Desert Winds
Fall Time
The Fear
Frank and Ollie
Girl in the Cadillac
Homage
Mirage (1995)
Open Season (1996)
Brother Minister: The Assassination of Malcolm X
Highlander: The Final Dimension
Federal Hill
In the Mouth of Madness
8 Seconds
Above the Rim
Addams Family Values
Martin Lawrence: You So Crazy
The Age of Innocence (1993)
Airheads
The Air Up There
Another Stakeout
Bad Girls (1994)
Barcelona
Being Human
The Beverly Hillbillies
Beverly Hills Cop III
Black Beauty (1994)
Blink
Blown Away (1994)
Blue Chips
Blue Sky
Body Snatchers
Boxing Helena
A Bronx Tale
Cabin Boy
Calendar Girl
Carlito's Way
City Slickers II: The Legend of Curly's Gold
Clean Slate
Cliffhanger
Coneheads
Color of Night
Cops & Robbersons
The Cowboy Way
Dangerous Game
Dave
Dazed and Confused
Demolition Man
The Endless Summer 2
Even Cowgirls Get the Blues
Fatal Instinct
Farewell My Concubine
The Favor
Fearless (1993)
Fear of a Black Hat
With Honors
Flesh and Bone
Widows' Peak
For Love or Money (1993)
The Firm (1993)
Free Willy
Fresh (1994)
The Fugitive (1993)
Geronimo: An American Legend
The Getaway (1994)
Getting Even with Dad
Go Fish
A Good Man in Africa
Guilty as Sin
Hard Target
Heaven & Earth
Hot Shots! Part Deux
Live Nude Girls
The Englishman Who Went Up a Hill But Came Down a Mountain
The House of the Spirits
House Party 3
The Hudsucker Proxy
I'll Do Anything
In the Army Now
In the Line of Fire
In the Name of the Father
The Inkwell
What's Love Got to Do with It
Jimmy Hollywood
Judgment Night
Jurassic Park
Kalifornia
Killing Zoe
King of the Hill
Lassie (1994)
Last Action Hero
Life With Mikey
Lightning Jack
M. Butterfly
Made in America
Malice
The Man without a Face
Manhattan Murder Mystery
Menace II Society
Executive Decision
In the Realm of the Senses
What Happened Was...
Much Ado About Nothing (1993)
Mr. Jones (1993)
Mr. Wonderful
Mrs. Doubtfire
Naked (1993)
The Next Karate Kid
The New Age
No Escape (1994)
North (1994)
Orlando
A Perfect World
Philadelphia
The Piano
Poetic Justice
The Program (1993)
The Puppet Masters
Radioland Murders
The Ref
The Remains of the Day
Renaissance Man
Rising Sun
The Road to Wellville
RoboCop 3
Robin Hood: Men in Tights
Romeo Is Bleeding
Romper Stomper
Ruby in Paradise
Rudy
The Saint of Fort Washington
Savage Nights
Schindler's List
The Scout
Searching for Bobby Fischer
Second Best
The Secret Garden (1993)
Serial Mom
The Shadow
Shadowlands
Short Cuts
A Simple Twist of Fate
Sirens
Six Degrees of Separation
Sleepless in Seattle
Sliver
Blade Runner
Son in Law
So I Married an Axe Murderer
Striking Distance
Harem
Super Mario Bros.
Surviving the Game
Terminal Velocity
Thirty Two Short Films About Glenn Gould
Threesome
The Nightmare Before Christmas
The Three Musketeers (1993)
Tombstone
Trial by Jury
True Romance
The War Room
The Pagemaster
"Paris, France"
Killer (1994)
Welcome to the Dollhouse
Germinal
Chasers
Cronos
Naked in New York
Kika
Bhaji on the Beach
Little Big League
The Slingshot
Wide Eyed and Legless
Foreign Student
"Ciao, Professore!"
Spanking the Monkey
The Little Rascals
À la mode
Andre
The Escort (1993)
Princess Caraboo
The Celluloid Closet
Café au Lait
Dear Diary
I Don't Want to Talk About It
The Brady Bunch Movie
Home Alone
Ghost (1990)
Aladdin (1992)
Terminator 2: Judgment Day
Dances with Wolves
Tough and Deadly
Batman (1989)
The Silence of the Lambs
Snow White and the Seven Dwarfs
Beauty and the Beast (1991)
Pinocchio (1940)
Pretty Woman
Window to Paris
The Wild Bunch
Love and a .45
The Wooden Man's Bride
A Great Day in Harlem
Bye Bye Love
One Fine Day
Candyman: Farewell to the Flesh
Century
Fargo
Homeward Bound II: Lost in San Francisco
Heavy Metal
Hellraiser: Bloodline
The Pallbearer
Jane Eyre (1996)
Loaded (1996)
Bread and Chocolate
The Aristocats
The Flower of My Secret
Two Much
Ed
Scream of Stone
My Favorite Season
A Modern Affair
Condition Red
Halfaouine: Boy of the Terraces
A Thin Line Between Love and Hate
The Last Supper
Primal Fear
Rude
Carried Away
All Dogs Go to Heaven 2
Land and Freedom
Denise Calls Up
Theodore Rex
A Family Thing
Frisk
Sgt. Bilko
Jack & Sarah
Girl 6
Diabolique (1996)
"Little Indian, Big City"
Roula
Nelly and Monsieur Arnaud
Courage Under Fire
Mission: Impossible
Cold Fever
Moll Flanders
The Superwife
"301, 302"
DragonHeart
My Mother's Courage
Eddie
Yankee Zulu
Billy's Holiday
Purple Noon
August (1996)
James and the Giant Peach
Fear (1996)
Kids in the Hall: Brain Candy
Faithful
Underground (1995)
All Things Fair
Bloodsport II
Pather Panchali
The World of Apu
Mystery Science Theater 3000: The Movie
Tarantella
Space Jam
Barbarella
Hostile Intentions
They Bite
Alphaville
Coup de Torchon
Tigrero: A Film That Was Never Made
The Eye of Vichy
Windows
It's My Party
Country Life
Operation Dumbo Drop
The Promise (1995)
Mrs. Winterbourne
Solo (1996)
The Substitute (1996)
True Crime (1996)
Butterfly Kiss (1995)
Feeling Minnesota
Delta of Venus
Angus
Priest Daens
Faces
Boys (1996)
The Quest
Cosi
Sunset Park
Mulholland Falls
The Truth About Cats & Dogs
Oliver & Company
Celtic Pride
Flipper (1996)
Captives
Of Love and Shadows
Dead Man
The Horseman on the Roof
Switchblade Sisters
Mouth to Mouth (1995)
The Visitors (1993)
Multiplicity
"The Haunted World of Edward D. Wood, Jr."
Two Friends (2002)
The Craft
The Great White Hype
Last Dance
Cold Comfort Farm
"Institute Benjamenta, or This Dream People Call Human Life"
Heaven's Prisoners
Original Gangstas
The Rock
Getting Away with Murder
Cemetery Man
Twister (1996)
Barb Wire
Le Garçu
Honeymoon (1996)
Ghost in the Shell (1995)
Thinner
Spy Hard
Brothers in Trouble
Force of Evil
The Stupids
The Arrival
The Man from Down Under
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Careful
A Month by the Lake
Gold Diggers: The Secret of Bear Mountain
Kim
Carmen Miranda: Bananas Is My Business
Ashes of Time
The Jar
Maya Lin: A Strong Clear Vision
Stalingrad (1993)
The Phantom (1996)
Striptease
The Last of the High Kings
Heavy
Jack (1996)
I Shot Andy Warhol
The Grass Harp
Someone Else's America
Life is Rosy
Quartier Mozart
Touki Bouki
God's Gift
Spirits of the Dead
Babyfever
Pharaoh's  Army
Trainspotting
Til There Was You
Independence Day
Stealing Beauty
The Fan (1996)
The Hunchback of Notre Dame (1996)
The Cable Guy
Kingpin
Eraser
The Gate of Heavenly Peace
The Nutty Professor (1996)
"I, the Worst of All"
An Unforgettable Summer
A Hungarian Fairy Tale
My Life and Times With Antonin Artaud
Midnight Dancers
Somebody to Love
A Very Natural Thing
Daylight (1996)
The Frighteners
Lone Star
Harriet the Spy
Phenomenon
Walking and Talking
She's the One
A Time to Kill
American Buffalo
Rendezvous in Paris
Alaska
Fled
Kazaam
Magic Hunter
Larger Than Life
Power 98
Two Deaths
A Very Brady Sequel
Stefano Quantestorie
Death in the Garden
Hedd Wyn
La Collectionneuse
Kaspar Hauser
Regular Guys
The Convent (1995)
The Adventures of Pinocchio
Joe's Apartment
The First Wives Club
Stonewall (1995)
Ransom (1996)
High School High
Phat Beach
Foxfire (1996)
Chain Reaction (1996)
Matilda (1996)
Emma (1996)
The Crow: City of Angels
House Arrest
Eyes Without a Face
Bordello of Blood
Lotto Land
The Story of Xinghua
The Day the Sun Turned Cold
Flirt
The Big Squeeze
The Spitfire Grill
Escape from L.A.
Cyclo
Basquiat
Tin Cup
Dingo
The Ballad of Narayama (1958)
Every Other Weekend
Crows and Sparrows
The Godfather
Maybe... Maybe Not
Police Story 3: Supercop
Manny & Lo
Wife (1953)
Small Faces
Bound (1996)
Carpool
Death in Brunswick
Kansas City
Gone Fishin'
Lover's Knot
Vive L'Amour
Shadow of Angels
Killer: A Journal of Murder
Project S
Girls Town (1996)
Bye-Bye
The Relic
The Island of Dr. Moreau (1996)
First Kid
The Trigger Effect
Sweet Nothing
Bogus
Bulletproof (1996)
Talk of Angels
The Land Before Time III: The Time of the Great Giving
Halloween: The Curse of Michael Myers
Twelfth Night
Mother Night
Liebelei
Venice
Wild Reeds
For Whom the Bell Tolls
The Philadelphia Story
Singin' in the Rain
An American in Paris
Funny Face
Breakfast at Tiffany's
Vertigo
Rear Window (1954)
It Happened One Night
Gaslight (1944)
The Gay Divorcee
North by Northwest
The Apartment (1960)
Some Like It Hot
Charade
Casablanca
The Maltese Falcon (1941)
My Fair Lady
Sabrina (1954)
Roman Holiday
The Little Princess
Meet Me in St. Louis
The Wizard of Oz (1939)
My Favorite Year
Sunset Boulevard
Citizen Kane
2001: A Space Odyssey
Golden Earrings
All About Eve
The Women (1939)
Rebecca
Foreign Correspondent
Notorious (1946)
Spellbound (1945)
An Affair to Remember
To Catch a Thief
Father of the Bride (1950)
The Band Wagon
Ninotchka
Love in the Afternoon (1957)
Gigi (1958)
The Reluctant Debutante
The Adventures of Robin Hood
The Mark of Zorro (1940)
Laura
The Ghost and Mrs. Muir
Lost Horizon (1937)
Top Hat
To Be or Not to Be (1942)
My Man Godfrey (1936)
East of Eden
The Thin Man
His Girl Friday
Around the World in Eighty Days
It's a Wonderful Life
Mr. Smith Goes to Washington
Bringing Up Baby
Penny Serenade
The Scarlet Letter (1926)
Lady of Burlesque
Of Human Bondage
Angel on My Shoulder
Little Lord Fauntleroy (1936)
They Made Me a Criminal
The Inspector General
Angel and the Badman
The 39 Steps (1935)
A Walk in the Sun
The Outlaw
Night of the Living Dead (1968)
The African Queen
Beat the Devil
Cat on a Hot Tin Roof
The Last Time I Saw Paris
Meet John Doe
Algiers
Something to Sing About (1937)
A Farewell to Arms (1932)
Moonlight Murder
Nothing Personal (1996)
"Yes, Madam"
Dangerous Ground
Picnic (1955)
Madagascar Skin
The Pompatus of Love
Small Wonders
Fly Away Home
Bliss (1997)
Grace of My Heart
Brother of Sleep
Maximum Risk
Michael Collins
The Rich Man's Wife
Infinity
Big Night
Last Man Standing (1996)
Caught (1996)
Set It Off
2 Days in the Valley
Curdled
L'associé
Ed's Next Move
Extreme Measures
The Glimmer Man
D3: The Mighty Ducks
The Chamber
The Apple Dumpling Gang
"Davy Crockett, King of the Wild Frontier"
Escape to Witch Mountain (1975)
The Love Bug (1968)
Herbie Rides Again
Old Yeller
The Parent Trap (1961)
Pollyanna (1960)
Homeward Bound: The Incredible Journey
The Shaggy Dog (1959)
Swiss Family Robinson
That Darn Cat!
"20,000 Leagues Under the Sea (1954)"
Cool Runnings
Angels in the Outfield (1994)
Cinderella (1950)
The Three Caballeros
The Sword in the Stone
So Dear to My Heart
Robin Hood: Prince of Thieves
Mary Poppins
Dumbo
Pete's Dragon (1977)
Bedknobs and Broomsticks
Alice in Wonderland (1951)
The Fox and the Hound
Freeway (1996)
The Sound of Music
Die Hard
The Lawnmower Man
Unhook the Stars
Synthetic Pleasures
The Secret Agent
Secrets & Lies
That Thing You Do!
To Gillian on Her 37th Birthday
Surviving Picasso
Love Is All There Is
Beautiful Thing
The Long Kiss Goodnight
The Ghost and the Darkness
Looking for Richard
Trees Lounge
Normal Life
Get on the Bus
Shadow Conspiracy
Jude
Everyone Says I Love You
Bitter Sugar
Romeo + Juliet
Swingers (1996)
Sleepers
The Sunchaser
Johns
Aladdin and the King of Thieves
The Woman in Question
Shall We Dance
A Damsel in Distress
Crossfire
"Murder, My Sweet"
Macao
For the Moment
Willy Wonka & the Chocolate Factory
The Sexual Life of the Belgians
The Innocents (1961)
Sleeper
Bananas
A Fish Called Wanda
Life of Brian
Victor/Victoria
The Candidate (1972)
The Great Race
Bonnie and Clyde
The Old Man and the Sea (1958)
Dial M for Murder
Madame Butterfly
Dirty Dancing (1987)
Reservoir Dogs
Platoon
Weekend at Bernie's
Basic Instinct
The Doors
The Crying Game
Glengarry Glen Ross
Sophie's Choice
E.T. the Extra-Terrestrial
The Search for One-eye Jimmy
A Christmas Carol (1938)
Days of Thunder
Top Gun
American Strays
Rebel Without a Cause
A Streetcar Named Desire (1951)
Children of the Corn IV: The Gathering
The Leopard Son
Charm's  Incidents
Bird of Prey
Microcosmos
Palookaville
The Associate
The Funeral (1996)
A Single Girl
The Eighth Day (1996)
North Star
Drunks
The People vs. Larry Flynt
Glory Daze
A Perfect Candidate
On Golden Pond
The Return of the Pink Panther
Drop Dead Fred
The Abyss
The Fog (1980)
Escape from New York
The Howling
Jean de Florette
Manon of the Spring
Johnny 100 Pesos
Private Benjamin
Monty Python and the Holy Grail
Hustler White
Dadetown
Everything Relative
Entertaining Angels - The Dorothy Day Story
Three Lives and Only One Death
The Line King: The Al Hirschfeld Story
Snowriders
Curtis's Charm
When We Were Kings
JLG/JLG: Self-Portrait in December
The Return of Martin Guerre
Faust (1994)
He Walked by Night
Raw Deal (1948)
T-Men
The Children Are Watching Us
Pastoral Symphony
Here Comes Cookie
Love In Bloom
Six of a Kind
The Tin Drum
The Ruling Class
2 or 3 Things I Know About Her
The Bloody Child
Dear God
Bad Moon
American Dream
Best of the Best 3: No Turning Back
Bob Roberts
Cinema Paradiso
"The Cook, the Thief, His Wife & Her Lover"
Delicatessen
The Double Life of Veronique
Enchanted April (1991)
Paths of Glory
The Grifters
Hear My Song
The Shooter
The English Patient
Mediterraneo
My Left Foot: The Story of Christy Brown
"Sex, Lies, and Videotape"
Passion Fish
Strictly Ballroom
The Thin Blue Line
Tie Me Up! Tie Me Down!
Madonna: Truth or Dare
Paris is Burning
One Flew Over the Cuckoo's Nest
Up in Smoke
The Empire Strikes Back
The Princess Bride
Raiders of the Lost Ark
Brazil
Aliens
"The Good, the Bad and the Ugly"
Withnail & I
12 Angry Men (1957)
A Clockwork Orange
To Kill a Mockingbird
Apocalypse Now
Once Upon a Time in the West
Return of the Jedi
Wings of Desire
The Third Man
GoodFellas
Alien
Army of Darkness
The Big Blue
Ran
The Killer
Psycho (1960)
The Blues Brothers
The Godfather: Part II
Full Metal Jacket
Henry V (1989)
Amadeus
The Quiet Man
Raging Bull
Annie Hall
The Right Stuff
Stalker (1979)
Das Boot
The Sting
Harold and Maude
Trust (1990)
The Seventh Seal
Local Hero
The Terminator
Braindead
Glory
Rosencrantz & Guildenstern Are Dead
Manhattan
Miller's Crossing
Dead Poets Society
The Graduate
Touch of Evil
La Femme Nikita
The Bridge on the River Kwai
8½
Chinatown
The Day the Earth Stood Still (1951)
The Treasure of the Sierra Madre
Bad Taste
Duck Soup
Better Off Dead...
The Shining
Stand by Me
M (1931)
Evil Dead II
The Great Escape
The Deer Hunter
Diva
Groundhog Day
Unforgiven (1992)
The Manchurian Candidate (1962)
Pump up the Volume
Arsenic and Old Lace
Back to the Future
Fried Green Tomatoes
Patton
Down by Law
Akira
Highlander
Cool Hand Luke
Cyrano de Bergerac (1990)
Young Frankenstein
Night on Earth
Raise the Red Lantern
The Great Dictator
Fantasia
High Noon (1952)
The Big Sleep (1946)
Heathers
Somewhere in Time
This Is Spinal Tap
Koyaanisqatsi
Some Kind of Wonderful
Indiana Jones and the Last Crusade
Being There
Gandhi
The Unbearable Lightness of Being
A Room with a View
Real Genius
Pink Floyd: The Wall
The Killing Fields
My Life as a Dog
Forbidden Planet
Field of Dreams
The Man Who Would Be King
Butch Cassidy and the Sundance Kid
"Paris, Texas"
When Harry Met Sally...
I Shot a Man in Vegas
Parallel Sons
Hype!
Santa with Muscles
Female Perversions
Mad Dog Time
Breathing Room (1996)
Paris Was a Woman
I'm Not Rappaport
Blue Juice
Alien³
An American Werewolf in London
Amityville: It's About Time
Amityville 3-D
Amityville: Dollhouse
Amityville: A New Generation
Amityville II: The Possession
The Amityville Horror (1979)
The Amityville Curse
Blood for Dracula
April Fool's Day (1986)
Audrey Rose
The Believers
The Birds
The Blob (1958)
Blood Beach
Body Parts
The Body Snatcher
Dracula (1992)
Bride of Frankenstein
Burnt Offerings
Candyman
Cape Fear (1991)
Cape Fear (1962)
Carrie (1976)
Cat People (1982)
A Nightmare on Elm Street (1984)
Nosferatu
Vampire in Venice
The Omen (1976)
Blood and Wine
Albino Alligator
The Mirror Has Two Faces
Breaking the Waves
Nightwatch (1997)
Star Trek: First Contact
Shine
Sling Blade
Jingle All the Way
Identification of a Woman
Paradise Lost: The Child Murders at Robin Hood Hills
The Preacher's Wife
Zero Kelvin
Ridicule
The Crucible
101 Dalmatians
I Can't Sleep
Die Hard 2
Star Trek: The Motion Picture
Star Trek VI: The Undiscovered Country
Star Trek V: The Final Frontier
Star Trek II: The Wrath of Khan
Star Trek III: The Search for Spock
Star Trek IV: The Voyage Home
Batman Returns
Young Guns
Young Guns II
Grease
Grease 2
Marked for Death
Adrenalin: Fear the Rush
The Substance of Fire
Under Siege
Terror in a Texas Town
Jaws
Jaws 2
Jaws 3-D
My Fellow Americans
Mars Attacks!
Citizen Ruth
Jerry Maguire
Raising Arizona
Tin Men
Sneakers
Bastard Out of Carolina
In Love and War
Marvin's Room
Somebody Is Waiting
Ghosts of Mississippi
Night Falls on Manhattan
Beavis and Butt-Head Do America
La Cérémonie
Scream
The Last of the Mohicans (1992)
Michael (1996)
The Evening Star
Some Mother's Son
The Whole Wide World
Mother (1996)
Thieves (1996)
Evita
The Portrait of a Lady
Walkabout
Message to Love: The Isle of Wight Festival
Murder at 1600
Hearts and Minds (1995)
Inside (1996)
Fierce Creatures
Zeus & Roxanne
Turbulence
Angel Baby (1995)
First Strike
Underworld (1996)
Beverly Hills Ninja
Metro (1997)
Falling in Love Again
The Cement Garden
Dante's Peak
Meet Wally Sparks
Amos & Andrew
Benny & Joon
Prefontaine
A Tickle in the Heart
Guantanamera
McHale's Navy
Kolya
Gridlock'd
Fire on the Mountain
Waiting for Guffman
Prisoner of the Mountains
The Beautician and the Beast
SubUrbia
Hotel de Love
The Pest
Fools Rush In
Touch
Absolute Power
That Darn Cat
Vegas Vacation
That Old Feeling
Lost Highway
Rosewood
Donnie Brasco
Booty Call
Boys Life 2
City of Industry
Best Men
Jungle 2 Jungle
Kama Sutra - A Tale of Love
Private Parts (1997)
Love Jones
The Saint (1997)
Smilla's Sense of Snow
The Van (1996)
Crash (1996)
The Daytrippers
Liar Liar
The Quiet Room
Selena
The Devil's Own
Cats Don't Dance
B.A.P.S.
Love and Other Catastrophes
Turbo: A Power Rangers Movie
Anna Karenina (1997)
Double Team
Inventing the Abbotts
Anaconda
Grosse Pointe Blank
Keys to Tulsa
Kissed
8 Heads in a Duffel Bag
Hollow Reed
Paradise Road
Traveller
All Over Me
A Brother's Kiss
A Chef in Love
Romy and Michele's High School Reunion
Temptress Moon
Volcano (1997)
Children of the Revolution
Austin Powers: International Man of Mystery
Breakdown
Broken English (1996)
Commandments
Ripe
"Truth or Consequences, N.M."
The Turning
Warriors of Virtue
Fathers' Day
The Fifth Element
Intimate Relations
Nowhere
Losing Chase
Sprung
Le Bonheur
Love! Valour! Compassion!
Shall We Dance? (1996)
The Second Jungle Book: Mowgli & Baloo
Twin Town
Addicted to Love
Brassed Off
The Designated Mourner
The Lost World: Jurassic Park
Ponette
Schizopolis
Shiloh
The War at Home
Rough Magic
Trial and Error
Buddy (1997)
Con Air
Late Bloomers (1996)
The Pillow Book
To Have (Or Not)
Speed 2: Cruise Control
Squeeze
Sudden Manhattan
Wedding Bell Blues
Batman & Robin
Dream with the Fishes
Roseanna's Grave
Head Above Water
Hercules (1997)
The Last Time I Committed Suicide
MURDER and murder
My Best Friend's Wedding
Tetsuo II: Body Hammer
When the Cat's Away
Contempt
Face/Off
Fall
Gabbeh
Mondo
The Innocent Sleep
For Ever Mozart
Men in Black
Out to Sea
Wild America
A Simple Wish
Contact
Love Serenade
G.I. Jane
Conan the Barbarian (1982)
George of the Jungle
Cop Land
Event Horizon
Spawn
Air Bud
Picture Perfect
In the Company of Men
Free Willy 3: The Rescue
Career Girls
Conspiracy Theory
Desperate Measures
Steel (1997)
She's So Lovely
Hoodlum
Leave it to Beaver
Mimic
Money Talks
Excess Baggage
Kull the Conqueror
Air Force One
One Eight Seven
The Hunt for Red October
My Own Private Idaho
"Kiss Me, Guido"
Star Maps
In & Out
The Edge (1997)
The Peacemaker
L.A. Confidential
Seven Years in Tibet
Kiss the Girls
Soul Food
Kicked in the Head
Wishmaster
A Thousand Acres
The Game
Fire Down Below (1997)
U Turn
The Locusts
The Matchmaker (1997)
The Assignment (1997)
A Smile Like Yours
Ulee's Gold
The Ice Storm
Stag
Chasing Amy
Def Jam's How to Be a Player
The Full Monty
Alive and Kicking
Mrs Brown
I Know What You Did Last Summer
The Devil's Advocate
RocketMan
Playing God
The House of Yes
"Fast, Cheap & Out of Control"
Washington Square
Telling Lies In America
Year of the Horse
Gattaca
FairyTale: A True Story
Phantoms
Swept from the Sea
A Life Less Ordinary
Hurricane Streets
Eve's Bayou
Switchback
Gang Related
Stripes
Nenette and Boni
Bean
Hugo Pool
Mad City
One Night Stand
The Tango Lesson
Welcome to Sarajevo
Deceiver
